machine_id,ville,type_machine,risque,temperature_C,vibration,pression_bar,age_ans,production_jour,panne
M0339,Cotonou,Pompe,Faible,65.7,2.86,6.59,6,19066.0,0
M0340,Cotonou,Moteur,Faible,61.1,5.82,6.7,5,113005.63123644353,0
M0341,Cotonou,Moteur,Moyen,64.2,4.49,7.08,4,22522.0,0
M0342,Cotonou,Pompe,Faible,59.7,2.71,6.21,11,30338.0,0
M0343,Cotonou,Pompe,Élevé,74.8,3.9,7.7,16,20286.0,0
M0344,Cotonou,Pompe,Moyen,64.0,2.34,6.43,12,19234.0,0
M0345,Cotonou,Pompe,Faible,67.5,4.71,6.56,11,27994.0,0
M0346,Porto-Novo,Moteur,Moyen,78.8,3.99,7.04,4,22777.0,0
M0347,Porto-Novo,Moteur,Faible,69.2,0.59,7.43,13,30774.0,0
M0348,Cotonou,Compresseur,Moyen,67.0,3.75,6.93,2,25362.0,0
M0349,Cotonou,Pompe,Élevé,71.8,5.0,7.06,6,28807.0,1
M0350,Cotonou,Pompe,Élevé,66.3,1.7,7.81,5,32271.0,0
M0351,Abomey-Calavi,Compresseur,Moyen,71.4,3.54,6.96,7,16299.0,0
M0352,Abomey-Calavi,Pompe,Élevé,69.2,2.93,6.9,15,28810.0,0
M0353,Porto-Novo,Moteur,Faible,77.7,4.12,7.49,1,9968.0,0
M0354,Porto-Novo,Pompe,Moyen,68.1,1.67,7.3,15,19822.0,0
M0355,Cotonou,Compresseur,Faible,64.1,4.67,6.93,11,20278.0,0
M0356,Porto-Novo,Compresseur,Moyen,67.9,3.18,6.66,17,15816.0,0
M0357,Abomey-Calavi,Pompe,Faible,54.1,5.32,7.3,13,24302.0,0
M0358,Abomey-Calavi,Pompe,Élevé,69.7,4.55,7.28,8,21102.0,0
M0359,Porto-Novo,Moteur,Faible,77.2,3.14,7.39,7,16900.0,0
M0360,Cotonou,Pompe,Faible,,2.09,6.66,15,35046.0,0
M0361,Parakou,Pompe,Moyen,73.9,,6.11,2,21803.0,0
M0362,Cotonou,Pompe,Faible,80.8,5.26,6.28,3,22271.0,0
M0363,Cotonou,,Faible,56.6,4.81,8.25,5,20521.0,0
M0364,Cotonou,Pompe,Moyen,81.6,4.03,6.69,6,28739.0,0
M0365,Porto-Novo,Pompe,Faible,74.5,4.14,6.58,4,26588.0,0
M0366,Porto-Novo,Pompe,Moyen,80.6,3.43,6.69,4,21261.0,0
M0367,Porto-Novo,Compresseur,Faible,67.3,2.77,6.18,9,40152.0,0
M0368,Porto-Novo,Pompe,Faible,74.4,3.21,,5,32008.0,0
M0369,Cotonou,Moteur,Moyen,72.6,3.13,7.35,8,25994.0,0
M0370,Abomey-Calavi,Moteur,Faible,67.8,2.62,7.5,13,11439.0,0
M0371,Abomey-Calavi,Compresseur,Faible,70.3,3.87,6.41,1,25701.0,0
M0372,Cotonou,Pompe,Moyen,82.7,6.22,6.84,12,22931.0,0
M0373,Cotonou,Pompe,Élevé,59.3,1.22,6.77,17,20691.0,0
M0374,Porto-Novo,Moteur,Faible,68.5,4.29,7.11,4,17541.0,0
M0375,Abomey-Calavi,Pompe,Élevé,74.8,3.6,6.73,4,30428.0,1
M0376,Cotonou,Pompe,Élevé,82.0,2.09,,8,31772.0,0
M0377,Porto-Novo,Compresseur,Moyen,62.5,4.02,6.64,15,21043.0,0
M0378,Porto-Novo,Moteur,Moyen,60.7,27.47449785376273,6.6,6,13921.0,0
M0379,Parakou,Compresseur,Moyen,55.4,1.8,6.31,15,14703.0,0
M0380,Porto-Novo,Pompe,Moyen,73.4,3.75,7.07,8,22642.0,0
M0381,Cotonou,Pompe,Moyen,69.6,2.05,7.28,10,17657.0,0
M0382,Cotonou,Compresseur,Faible,70.7,4.95,6.07,1,21925.0,0
M0383,Parakou,Moteur,Faible,70.2,4.27,7.26,8,29246.0,0
M0384,Cotonou,Pompe,Faible,57.2,3.74,6.45,11,28947.0,0
M0385,Abomey-Calavi,Compresseur,Faible,79.4,3.34,7.35,14,23080.0,0
M0386,Parakou,Pompe,Élevé,78.3,4.73,7.14,13,14815.0,0
M0387,Cotonou,Pompe,Faible,60.6,4.89,5.52,17,28987.0,0
M0388,Porto-Novo,Moteur,Faible,65.4,2.34,5.9,7,27219.0,0
M0389,Cotonou,Pompe,Faible,63.4,1.63,6.94,14,17846.0,0
M0390,Abomey-Calavi,Pompe,Moyen,64.8,3.34,7.11,5,25929.0,0
M0391,Abomey-Calavi,Moteur,Faible,85.2,4.7,6.96,4,29593.0,0
M0392,Cotonou,Compresseur,Moyen,78.5,3.38,6.43,3,36875.0,0
M0393,Cotonou,Moteur,Faible,62.8,5.72,7.07,7,26120.0,0
M0394,Cotonou,Moteur,Faible,86.8,3.63,5.61,8,29976.0,0
M0395,Porto-Novo,Pompe,Faible,74.9,3.1,7.4,7,22947.0,0
M0396,Parakou,Pompe,Faible,72.6,4.08,7.11,12,28119.0,0
M0397,Porto-Novo,Moteur,Faible,65.0,1.98,6.62,10,25697.0,0
M0398,Abomey-Calavi,Pompe,Moyen,65.5,2.48,7.31,13,98387.38048145334,0
M0399,Porto-Novo,Pompe,Faible,70.1,3.12,6.15,8,16702.0,0
M0400,Parakou,Moteur,Élevé,,2.85,7.14,5,25329.0,0
M0401,Parakou,Pompe,Élevé,63.2,5.73,7.23,15,10655.0,0
M0402,Cotonou,Pompe,Moyen,65.8,4.87,6.8,1,16425.0,0
M0403,Cotonou,Moteur,Moyen,,4.0,7.21,11,19105.0,0
M0404,Cotonou,Pompe,Moyen,72.9,3.18,,9,18084.0,0
M0405,Porto-Novo,Compresseur,Élevé,65.4,5.01,7.91,3,23585.0,0
M0406,Cotonou,Pompe,Faible,,5.19,,13,26614.0,0
M0407,Cotonou,Pompe,Faible,69.7,3.29,6.82,12,30827.0,0
M0408,Parakou,Pompe,Moyen,66.8,1.9,7.14,6,26323.0,0
M0409,Cotonou,Moteur,Élevé,70.0,4.12,7.41,2,26352.0,0
M0410,Porto-Novo,Moteur,Moyen,76.0,3.34,7.83,13,26286.0,0
M0411,Porto-Novo,Moteur,Moyen,76.9,3.05,6.9,11,31805.0,0
M0412,Porto-Novo,Compresseur,Moyen,79.3,3.58,6.55,16,22529.0,0
M0413,Cotonou,Compresseur,Moyen,42.0,4.83,7.0,9,40559.0,0
M0414,Abomey-Calavi,Pompe,Faible,68.4,3.32,6.66,4,31368.0,0
M0415,Abomey-Calavi,Moteur,Moyen,82.9,3.45,6.98,7,23847.0,0
M0416,Cotonou,Pompe,Faible,70.5,2.92,6.61,15,10558.0,0
M0417,Porto-Novo,Compresseur,Moyen,67.5,2.63,5.94,16,22057.0,0
M0418,Porto-Novo,Compresseur,Faible,77.7,2.32,7.58,8,22662.0,0
M0419,Parakou,Pompe,Moyen,81.3,,6.32,12,26616.0,0
M0420,Porto-Novo,Pompe,Élevé,68.3,3.68,7.3,6,26648.0,0
M0013,Parakou,Pompe,Faible,60.4,5.36,6.34,11,12083.0,0
M0058,Cotonou,Moteur,Faible,79.4,4.47,7.17,8,36423.0,0
M0202,Parakou,Pompe,Moyen,74.7,4.4,7.16,17,36809.0,0
